cell_no,cell_pollution,cell_width,cell_thickness
65,29.97999954,10.76130009,1.805899978
69,28.29999924,10.60350037,1.845199943
6,27.13999939,10.51690006,1.864300013
1,28.95999908,10.69620037,1.863000035
24,29.77000046,10.76259995,1.827100039
62,29,10.76270008,1.826200008
3,28.07999992,10.64089966,1.832000017
35,27.39999962,10.57759953,1.886100054
93,26.02000046,10.43589973,1.887699962
15,27.07999992,10.52569962,1.859899998
21,28.25,10.66049957,1.842700005
56,29.62000084,10.71259975,1.812999964
96,29.60000038,10.72929955,1.819599986
26,28.90999985,10.63199997,1.835100055
73,27.56999969,10.52340031,1.878299952
63,26.05999947,10.43589973,1.895900011
48,25.07999992,10.38169956,1.933899999
7,26.31999969,10.43690014,1.897300005
59,27.42000008,10.5298996,1.877300024
94,28.79999924,10.64599991,1.851199985
86,29.18000031,10.73820019,1.817299962
58,29.30999947,10.7791996,1.822299957
39,28.29999924,10.69519997,1.843600035
20,27.90999985,10.59090042,1.873100042
31,26.31999969,10.4744997,1.9023
95,25.71999931,10.39379978,1.944800019
42,24.94000053,10.22949982,1.953799963
82,25.79000092,10.30650043,1.914100051
47,26.88999939,10.41959953,1.888700008
88,27.70000076,10.53810024,1.859500051
