Lot,Wafer,Group,PunchSeq,Week,Day,Shift,Worker,Stepper,Conductivity,Strength,Purity,Precision,Temperature,Humidity,Pollution,Width,Thickness,Noise,M-Q I/O,Mac#ACD,M_Logic,Signal_A,Signal_B,Date/Time,Die_X,Die_Y,Unit_id
1,1,1,1,1,Monday,AM,1,3,96.79949951,0.938000023,90.45269775,47.93579865,62.98400116,27.54999924,29.97999954,10.76130009,1.805899978,60.04570007,1.668099999,1.404600024,45.16740036,505.4729919,1023.52124,3/9/98 7:56,1,4,85
1,1,2,2,1,Monday,AM,2,1,98.29879761,0.935000002,90.61889648,51.62749863,60.05899811,28.24200058,28.29999924,10.60350037,1.845199943,54.71569824,1.673200011,2.352600098,55.01610184,506.3120117,1045.140503,3/9/98 7:59,1,5,40
1,1,3,4,1,Monday,AM,3,3,98.33599854,0.953000009,90.70510101,47.65280151,64.74299622,28.36700058,27.13999939,10.51690006,1.864300013,54.82369995,1.692899942,3.011600018,65.94869995,503.1712952,1046.524292,3/9/98 8:00,1,6,4
1,1,4,5,1,Monday,AM,4,1,97.40219879,0.958999991,90.58519745,51.06100082,63.67699814,28.375,28.95999908,10.69620037,1.863000035,54.0707016,1.651200056,4.894299984,75.73719788,501.8581848,987.34729,3/9/98 8:02,1,7,47
1,1,5,6,1,Monday,AM,1,3,96.6753006,0.944000006,90.47070313,49.62020111,63.3409996,27.60000038,29.77000046,10.76259995,1.827100039,57.50469971,1.662199974,1.677600026,45.8871994,505.1448059,997.0247192,3/9/98 8:02,1,8,23
1,1,1,29,1,Monday,AM,2,2,94.53530121,0.952000022,90.4885025,48.1106987,64.68000031,27.17300034,29,10.76270008,1.826200008,58.39369965,1.659800053,2.843400002,55.5135994,507.5256042,1010.060852,3/9/98 8:05,2,3,60
1,1,2,30,1,Monday,AM,3,4,95.02700043,0.950999975,90.62039948,51.54809952,65.14800262,28.07099915,28.07999992,10.64089966,1.832000017,57.16270065,1.655300021,3.851999998,65.22039795,500.8551025,971.486084,3/9/98 8:05,2,4,49
1,1,3,31,1,Monday,AM,4,2,96.86799622,0.949999988,90.71070099,51.08069992,62.54899979,28.66500092,27.39999962,10.57759953,1.886100054,58.82569885,1.652099967,4.586500168,75.02210236,504.4173889,951.0323486,3/9/98 8:06,2,5,3
1,1,4,32,1,Monday,AM,1,4,97.78730011,0.952000022,90.81430054,50.70859909,62.08800125,28.84399986,26.02000046,10.43589973,1.887699962,59.04069901,1.667999983,1.749199986,45.72460175,500.7536926,972.7105713,3/9/98 8:07,2,6,92
1,1,5,33,1,Monday,AM,2,2,97.47949982,0.952000022,90.7039032,47.96300125,62.98899841,28.3010006,27.07999992,10.52569962,1.859899998,57.39369965,1.654500008,2.130000114,55.55130005,507.0306091,1033.413696,3/9/98 8:10,2,7,74
1,2,6,34,1,Monday,AM,3,4,95.25550079,0.950999975,90.62480164,49.91270065,63.51599884,28.27499962,28.25,10.66049957,1.842700005,60.16270065,1.656399965,3.118400097,65.62670135,505.9154968,958.6960449,3/9/98 8:14,2,8,76
1,2,7,7,1,Monday,AM,4,2,94.32039642,0.944999993,90.46890259,50.56259918,64.15299988,27.44799995,29.62000084,10.71259975,1.812999964,54.90869904,1.689900041,4.398600101,75.28720093,507.7029114,978.3830566,3/9/98 8:17,2,9,64
1,2,1,28,1,Monday,AM,1,3,94.12339783,0.940999985,90.48840332,49.3708992,63.43299866,27.6779995,29.60000038,10.72929955,1.819599986,58.77170181,1.679999948,1.37349999,45.94620132,502.572998,1048.158691,3/9/98 8:17,3,2,36
